angle,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29
0,0.010850,0.026038,-0.147413,0.111090,0.039477,-0.048512,-0.084994,0.141330,0.122540,0.025230,-0.087387,-0.021401,0.062168,0.146025,0.162946,0.178758,0.000000,0.998662,0.017472,-0.131680,0.066742,-0.329732,-0.038744,-0.334136,-0.436144,-0.403070,0.492117,0.507883,0.227458,0.231249
0,0.010644,0.010050,-0.165365,0.106357,0.020016,-0.077294,-0.024391,0.188612,0.065280,-0.036521,-0.087610,0.023998,0.113774,0.146826,0.081936,-0.035149,0.000000,0.985328,0.039753,-0.208010,0.027879,-0.319795,-0.059296,-0.444249,-0.382808,-0.377668,0.491495,0.508505,0.401797,0.428597
0,0.010540,0.010006,-0.165355,0.106486,0.019706,-0.077087,-0.022253,0.185220,0.062853,-0.038546,-0.082913,0.028668,0.115888,0.141559,0.074035,-0.028570,0.000000,0.983793,0.041216,-0.210056,0.027022,-0.308413,-0.064076,-0.456545,-0.374267,-0.396196,0.490678,0.509322,0.415043,0.445772
90,0.031665,0.140711,0.230868,0.382520,0.409264,0.377212,0.401644,0.430208,0.517204,0.560745,0.627946,0.674115,0.703650,0.663939,0.562924,0.510961,0.000271,0.927551,-0.892257,-1.278808,0.216954,0.099075,-0.193048,-0.355544,0.190576,0.239334,0.382154,0.617846,0.186545,0.286525
90,0.047206,0.149244,0.238987,0.443054,0.396472,0.414050,0.412322,0.433248,0.495815,0.573869,0.634537,0.654137,0.668535,0.637538,0.587841,0.549902,0.000250,0.968519,-0.880430,-1.211221,0.188565,0.112587,-0.132028,-0.322639,-0.012445,0.187993,0.395937,0.604063,0.155575,0.254419
90,0.020721,0.096176,0.171832,0.382897,0.414103,0.377080,0.364197,0.419061,0.475408,0.524788,0.602727,0.634200,0.635222,0.555240,0.462765,0.436657,0.000250,0.976484,-0.716747,-1.020168,0.286496,0.160381,-0.162828,-0.453961,0.117212,0.181146,0.396156,0.603844,0.277828,0.363873
90,0.021543,0.100714,0.181208,0.442029,0.433509,0.383670,0.369018,0.414767,0.479717,0.522875,0.590173,0.625396,0.602334,0.551168,0.439430,0.312064,0.000250,0.772810,-0.809774,-1.313893,0.318527,0.138205,-0.196050,-0.356106,0.147524,0.315471,0.354272,0.645728,0.570813,0.578639
90,0.147953,0.256788,0.332935,0.343209,0.360725,0.456395,0.470797,0.546052,0.613922,0.655265,0.652305,0.608709,0.509514,0.522023,0.551159,0.475167,0.000313,0.761343,-0.904385,-1.004943,-0.002677,-0.008157,0.065323,0.113289,0.075471,-0.023102,0.319984,0.680016,0.380821,0.454188
90,0.120690,0.263125,0.316377,0.386897,0.359397,0.451493,0.488593,0.548873,0.612479,0.647764,0.646929,0.614227,0.577222,0.544269,0.560732,0.582786,0.000333,0.792019,-0.914840,-1.046663,-0.016478,0.023133,0.064557,0.071203,0.071888,0.010287,0.317628,0.682372,0.352366,0.476059
90,0.120286,0.263158,0.316349,0.386986,0.359498,0.451427,0.488491,0.548977,0.612325,0.647176,0.647004,0.613587,0.577294,0.544530,0.560980,0.583730,0.000333,0.791704,-0.913760,-1.046751,-0.014434,0.019246,0.065589,0.072430,0.071985,0.018407,0.317690,0.682310,0.353635,0.476963
